Job: 7873891  |  Node: d1029  |  Thu Jun 25 04:06:35 PM EDT 2026
No restart file found -- starting fresh.
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0625 16:07:25.840000 1925552 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.051377743 0.051377743 0.051377743) to (17.911841 17.911841 17.911841)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  reading velocities ...
  501 velocities
  read_data CPU = 0.104 seconds
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 1000 ps at 400 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 113.3 | 113.3 | 113.3 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
         0   400           -3258.3438      25.852029     -3232.4918      4846.5819      5697.4192    
      1000   360.03235     -3231.7768      23.268917     -3208.5078      27159.527      5697.4192    
      2000   382.14631     -3233.7306      24.698144     -3209.0325      25064.984      5697.4192    
      3000   404.50823     -3232.3838      26.143396     -3206.2404      27168.056      5697.4192    
      4000   416.44397     -3231.7147      26.914804     -3204.7999      28070.206      5697.4192    
      5000   404.66226     -3232.0553      26.153351     -3205.9019      27138.186      5697.4192    
      6000   380.5341      -3232.225       24.593947     -3207.631       25243.895      5697.4192    
      7000   403.16112     -3233.0951      26.056332     -3207.0388      25258.223      5697.4192    
      8000   397.08338     -3233.0381      25.663528     -3207.3746      24922.203      5697.4192    
      9000   397.83102     -3230.471       25.711848     -3204.7592      29795.56       5697.4192    
     10000   387.83568     -3229.6893      25.065848     -3204.6235      30114.112      5697.4192    
     11000   382.2931      -3231.0462      24.707631     -3206.3386      26606.509      5697.4192    
     12000   392.56437     -3231.8119      25.371463     -3206.4404      26971.772      5697.4192    
     13000   422.50444     -3231.5011      27.306493     -3204.1947      28139.87       5697.4192    
     14000   397.12076     -3231.5269      25.665944     -3205.861       29239.567      5697.4192    
     15000   419.29925     -3232.1575      27.099341     -3205.0582      25549.037      5697.4192    
     16000   414.58778     -3233.2367      26.794838     -3206.4419      23814.121      5697.4192    
     17000   410.75893     -3233.7557      26.547379     -3207.2083      27039.805      5697.4192    
     18000   410.4875      -3231.0939      26.529837     -3204.564       29314.574      5697.4192    
     19000   405.28812     -3231.2386      26.193801     -3205.0448      28813.611      5697.4192    
     20000   396.20296     -3232.158       25.606626     -3206.5514      25260.75       5697.4192    
     21000   400.66743     -3233.7705      25.895165     -3207.8753      26552.119      5697.4192    
     22000   398.03436     -3232.1908      25.724989     -3206.4658      27386.45       5697.4192    
     23000   407.3892      -3231.8713      26.329593     -3205.5417      26873.882      5697.4192    
     24000   407.26578     -3232.5036      26.321617     -3206.182       26354.038      5697.4192    
     25000   410.90194     -3232.8778      26.556622     -3206.3211      28366.51       5697.4192    
     26000   393.02489     -3233.0251      25.401227     -3207.6239      25108.777      5697.4192    
     27000   391.77999     -3234.7519      25.320769     -3209.4311      25776.83       5697.4192    
     28000   394.91017     -3232.9892      25.523073     -3207.4662      26697.17       5697.4192    
     29000   385.7741      -3231.2439      24.932608     -3206.3113      28005.741      5697.4192    
     30000   391.80061     -3231.2675      25.322102     -3205.9454      27351.355      5697.4192    
     31000   388.17784     -3232.8721      25.087962     -3207.7841      27971.273      5697.4192    
     32000   379.30835     -3232.5764      24.514726     -3208.0617      25480.149      5697.4192    
     33000   415.04684     -3233.5117      26.824507     -3206.6872      25671.329      5697.4192    
     34000   419.44066     -3233.2254      27.10848      -3206.1169      26138.71       5697.4192    
     35000   395.22202     -3232.5458      25.543228     -3207.0026      25632.034      5697.4192    
     36000   389.44689     -3233.2719      25.169981     -3208.1019      26393.128      5697.4192    
     37000   372.28718     -3233.273       24.060948     -3209.212       25149.045      5697.4192    
     38000   389.20817     -3232.3712      25.154552     -3207.2166      27515.06       5697.4192    
     39000   407.43301     -3231.6917      26.332425     -3205.3593      27921.82       5697.4192    
     40000   396.69773     -3231.2699      25.638603     -3205.6313      28820.236      5697.4192    
     41000   398.37164     -3231.8994      25.746788     -3206.1526      26797.248      5697.4192    
     42000   356.69227     -3234.0257      23.053047     -3210.9727      23221.973      5697.4192    
     43000   414.37332     -3232.5469      26.780978     -3205.766       26910.008      5697.4192    
     44000   396.76328     -3230.5848      25.64284      -3204.942       28151.403      5697.4192    
     45000   391.34289     -3232.1073      25.292519     -3206.8148      26410.561      5697.4192    
     46000   401.55006     -3232.8042      25.952209     -3206.852       26022.927      5697.4192    
     47000   415.62387     -3230.9937      26.861801     -3204.1319      29128.672      5697.4192    
     48000   417.17149     -3233.3046      26.961824     -3206.3428      26974.854      5697.4192    
     49000   387.57796     -3232.4063      25.049192     -3207.3571      28108.844      5697.4192    
     50000   393.48452     -3232.3611      25.430933     -3206.9302      27172.12       5697.4192    
     51000   399.72146     -3231.1131      25.834027     -3205.279       27986.125      5697.4192    
     52000   385.61587     -3232.5361      24.922381     -3207.6137      25535.266      5697.4192    
     53000   391.46758     -3232.2797      25.300578     -3206.9791      27996.12       5697.4192    
     54000   407.82808     -3231.3988      26.357959     -3205.0409      29587.883      5697.4192    
     55000   396.33607     -3232.0381      25.615229     -3206.4229      25044.01       5697.4192    
     56000   376.52424     -3232.5609      24.334789     -3208.2261      25690.61       5697.4192    
     57000   382.36702     -3231.548       24.712408     -3206.8356      28372.36       5697.4192    
     58000   397.93704     -3231.099       25.7187       -3205.3803      29392.136      5697.4192    
     59000   395.68544     -3232.4472      25.573179     -3206.874       27284.464      5697.4192    
     60000   420.44796     -3232.2993      27.173582     -3205.1258      23609.279      5697.4192    
     61000   413.18921     -3233.4768      26.704449     -3206.7723      25665.469      5697.4192    
     62000   390.11769     -3232.9011      25.213335     -3207.6877      26820.583      5697.4192    
     63000   382.37685     -3233.7498      24.713044     -3209.0368      24562.113      5697.4192    
     64000   402.08363     -3232.1923      25.986694     -3206.2056      27145.317      5697.4192    
     65000   402.83304     -3232.3452      26.035129     -3206.31        27710.531      5697.4192    
     66000   390.95444     -3232.8479      25.267414     -3207.5805      25054.91       5697.4192    
     67000   410.22789     -3233.5689      26.513058     -3207.0558      24664.708      5697.4192    
     68000   407.57312     -3232.111       26.34148      -3205.7696      28124.563      5697.4192    
     69000   421.76733     -3232.4912      27.258853     -3205.2324      27039.486      5697.4192    
     70000   421.02215     -3230.606       27.210692     -3203.3953      29149.789      5697.4192    
     71000   400.92445     -3232.4384      25.911776     -3206.5266      26676.719      5697.4192    
     72000   402.22244     -3232.9055      25.995665     -3206.9098      27365.456      5697.4192    
     73000   401.05379     -3232.2212      25.920136     -3206.3011      27874.03       5697.4192    
     74000   398.98582     -3231.9085      25.786483     -3206.122       26876.315      5697.4192    
     75000   397.88037     -3232.5703      25.715037     -3206.8552      26649.34       5697.4192    
     76000   398.13888     -3232.4948      25.731745     -3206.7631      26839.93       5697.4192    
     77000   410.29795     -3231.9401      26.517586     -3205.4225      27467.465      5697.4192    
     78000   415.9621      -3232.9442      26.883661     -3206.0605      27457.719      5697.4192    
     79000   406.68247     -3232.0221      26.283918     -3205.7381      25211.443      5697.4192    
     80000   370.14854     -3231.1222      23.922727     -3207.1994      28491.415      5697.4192    
     81000   411.2724      -3233.1205      26.580565     -3206.54        26305.238      5697.4192    
     82000   406.25562     -3232.3716      26.25633      -3206.1153      26658.859      5697.4192    
     83000   402.13919     -3233.7246      25.990285     -3207.7344      24493.802      5697.4192    
     84000   396.65037     -3232.854       25.635542     -3207.2184      26477.337      5697.4192    
     85000   401.22943     -3231.1304      25.931487     -3205.1989      27829.184      5697.4192    
     86000   394.87017     -3231.9023      25.520487     -3206.3818      26274.008      5697.4192    
     87000   418.23446     -3233.7678      27.030523     -3206.7373      25627.328      5697.4192    
     88000   384.16909     -3233.0901      24.828876     -3208.2612      25414.681      5697.4192    
     89000   406.69978     -3233.315       26.285037     -3207.0299      24150.589      5697.4192    
     90000   405.02442     -3232.2803      26.176758     -3206.1036      26808.863      5697.4192    
     91000   401.87926     -3233.2728      25.973486     -3207.2993      24804.993      5697.4192    
     92000   399.96763     -3234.0157      25.849937     -3208.1658      26091.866      5697.4192    
     93000   409.9004      -3233.3027      26.491893     -3206.8108      25942.658      5697.4192    
     94000   359.45696     -3231.5935      23.231729     -3208.3618      27467.438      5697.4192    
     95000   380.88128     -3232.8492      24.616385     -3208.2328      25414.119      5697.4192    
     96000   373.83315     -3231.6328      24.160863     -3207.4719      28074.433      5697.4192    
     97000   394.0709      -3231.7849      25.468831     -3206.3161      28636.91       5697.4192    
     98000   405.64446     -3230.9414      26.216831     -3204.7246      27660.318      5697.4192    
     99000   413.78476     -3233.3679      26.742939     -3206.6249      24466.137      5697.4192    
    100000   399.20652     -3232.8161      25.800746     -3207.0153      27067.879      5697.4192    
